"Nabór", "Kosmonauta", "Data urodzenia", "Liczba EVA", "Długość EVA", "Liczba lotów", "Długość lotów", "Status"
"Air Force Group 12", "Aleksandr Aleksandrovich Skvortsov,  Jr.", "1965-06-05", "2", "12h 34m", "2", "345d 6h 24m 15s", "Stan spoczynku"
"Air Force Group 11 Supplemental", "Oleg Valeriyevich  Kotov", "1965-10-27", "6", "1d 12h 51m", "3", "526d 5h 2m 17s", "Stan spoczynku"
"Energia Engineer Group 13", "Sergey Nikolayevich  Revin", "1966-01-12", "0", "", "1", "124d 23h 51m 37s", "Aktywny"
"Journalist Group", "Pavel Pavlovich Mukhortov", "1966-03-11", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 13", "Konstantin Mirovich  Kozeyev", "1967-01-12", "0", "", "1", "9d 19h 59m 51s", "Stan spoczynku"
"Air Force Group 13", "Anotoli Akelseievich  Ivanishin", "1969-01-15", "0", "", "2", "280d 9h 52m 16s", "Aktywny"
"Energia Engineer Group 17", "Andrei Nikolayevich Babkin", "1969-04-21", "0", "", "0", "", "Aktywny"
"Air Force Group 12", "Dmitry Yurievich  Kondratiyev", "1969-05-26", "2", "10h 18m", "1", "159d 7h 17m 15s", "Stan spoczynku"
"Energia Engineer Group 14", "Oleg Ivanovich  Skripochka", "1969-12-24", "3", "16h 46m", "2", "331d 12h 29m 32s", "Aktywny"
"Air Force Group 13", "Aleksandr Mikhailovich Samokutyayev", "1970-03-13", "2", "10h 1m", "2", "331d 11h 24m 17s", "Aktywny"
"Energia Engineer Group 15", "Oleg Germanovich Artemyev", "1970-12-28", "2", "12h 34m", "2", "172d 5h 7m 41s", "Aktywny"
"Air Force Group 12", "Roman Yuriyevich Romanenko", "1971-09-08", "1", "6h 38m", "2", "333d 11h 2s", "Stan spoczynku"
"Air Force Group 14", "Aleksei Nikolaevich Ovchinin", "1971-09-28", "0", "", "1", "172d 3h 46m 22s", "Aktywny"
"Air Force Group 14", "Oleg Viktorovich Novitskiy", "1971-10-12", "0", "", "2", "340d 10h 9m 36s", "Aktywny"
"Air Force Group 12", "Konstantin Anatolyevich Valkov", "1971-11-11", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 13", "Anton Nikolaevich Shkaplerov", "1972-02-20", "2", "14h 28m", "3", "462d 10h 45m 19s", "Aktywny"
"Air Force Group 12", "Maksim Viktorovich  Surayev", "1972-05-24", "2", "9h 22m", "2", "334d 12h 10m 13s", "Stan spoczynku"
"Energia Engineer Group 15", "Mark Vyacheslavovich Serov", "1974-05-23", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 14", "Sergei Nikolaevich Ryzhikov", "1974-08-19", "0", "", "1", "173d 3h 14m 46s", "Aktywny"
"IMBP Group 6", "Sergei Nikolaevich Ryazansky", "1974-11-13", "4", "1d 3h 39m", "2", "304d 23h 21m 58s", "Aktywny"
"Energia Engineer Group 15", "Yevgeni Igorevich Tarelkin", "1974-12-29", "0", "", "1", "143d 16h 19m 49s", "Stan spoczynku"
"Air Force Group 15", "Alexei Mikhailovich Khomenchuk", "1975-01-07", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 15", "Sergei Valerevich Prokopyev", "1975-02-19", "0", "", "0", "", "Aktywny"
"Energia Engineer Group 14 Supplemental", "Nataliya Gromushkina", "1975-09-29", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 16", "Elena Olegovna Serova", "1976-04-22", "0", "", "1", "167d 5h 42m 53s", "Stan spoczynku"
"Air Force Group 14", "Aleksandr Aleksandrovich Misurkin", "1977-09-23", "4", "1d 4h 14m", "2", "334d 11h 28m 38s", "Aktywny"
"Air Force Group 16", "Pyotr Valerevich Dubrov", "1978-01-30", "0", "", "0", "", "Aktywny"
"Air Force Group 16", "Oleg Vladimirovich Blinov", "1978-08-17", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 14", "Maksim Vladimirovich Ponomarev", "1980-02-20", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 16", "Andrei Valerevich Fedyaev", "1981-02-26", "0", "", "0", "", "Aktywny"
"Air Force Group 16", "Ignat Nikolayevich Ignatov", "1982-03-20", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 16", "Nikolai Vladimirovich Tikhonov", "1982-05-23", "0", "", "0", "", "Aktywny"
"Air Force Group 15", "Denis Vladimirovich Matveyev", "1983-04-25", "0", "", "0", "", "Aktywny"
"Air Force Group 16", "Dimitri Alexandrovich Petelin", "1983-07-10", "0", "", "0", "", "Aktywny"
"Air Force Group 16", "Nikolai Alexandrovich Chub", "1984-06-10", "0", "", "0", "", "Aktywny"
"Air Force Group 16", "Anna Yurevna Kikina", "1984-08-27", "0", "", "0", "", "Aktywny"
"Air Force Group 16", "Sergei Vladimirovich Korsakov", "1984-09-01", "0", "", "0", "", "Aktywny"
"Energia Engineer Group 18", "Ivan Viktorovich Vagner", "1985-07-10", "0", "", "0", "", "Aktywny"
"Energia Engineer Group 18", "Svyatoslav Andreivich Morozov", "1985-08-22", "0", "", "0", "", "Stan spoczynku"
